"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Window","Quick Access","⌥→","Terminal Widget in Focus"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Navigate","Next Page","⌥F7","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Text Editing","Line End","⌘→","Editing Text"
"Spy","Plug-in Selection Spy","⌥⌘F1","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"SVN","Merge...","⌃⌥E","In Windows"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"C/C++ Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Text Editing","Line End","⌃E","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Window","Update Project","⌥F5","In Windows"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Navigate","Forward History","⌘]","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Text Editing","Set Mark","⌃2","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"File","Save All","⌃X S","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Text Editing","Page Up","⌥V","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"File","Print","⌥F9","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Edit","Find and Replace","⌥R","In Windows"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"C/C++ Source","Declaration","⌘G","In C/C++ Views"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Edit","Redo","⇧⌃+","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"SVN","Update to Revision","⌃⌥D","In Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
